,Unnamed: 0,all_titles,all_years,all_scores,all_meta,all_votes,all_gross,all_genres,id
2932,2932,Ready or Not,(I) (2019),7.1,64        ,19759,"26,744,177","
Comedy, Horror, Mystery            ",tt7798634
2933,2933,Overboard,(1987),6.9,53        ,48845,"26,713,187","
Comedy, Romance            ",tt0093693
2934,2934,Baby Boom,(1987),6.2,53        ,12897,"26,712,476","
Comedy, Drama, Romance            ",tt0092605
2935,2935,Prizzi's Honor,(1985),6.7,84        ,21473,"26,700,000","
Comedy, Crime, Drama            ",tt0089841
2936,2936,Winnie the Pooh,(2011),7.2,74        ,20093,"26,692,846","
Animation, Adventure, Comedy            ",tt1449283
2937,2937,Event Horizon,(1997),6.7,35        ,146766,"26,673,242","
Horror, Sci-Fi, Thriller            ",tt0119081
2938,2938,In Like Flynn,(2018),5.1,66        ,568,"26,646,175","
Action, Adventure            ",tt5303442
2939,2939,Superhero Movie,(2008),4.5,33        ,60763,"26,638,520","
Action, Comedy            ",tt0426592
2940,2940,The Host,(2013),5.9,35        ,106931,"26,627,201","
Action, Adventure, Drama            ",tt1517260
2941,2941,El Cid,(1961),7.2,79        ,11950,"26,620,000","
Biography, Drama, History            ",tt0054847
2942,2942,Machete,(2010),6.6,60        ,184371,"26,593,646","
Action, Crime, Thriller            ",tt0985694
2943,2943,The Forest,(I) (2016),4.8,34        ,37333,"26,583,369","
Horror, Mystery, Thriller            ",tt3387542
2944,2944,An American Werewolf in Paris,(1997),5.1,31        ,22068,"26,570,463","
Comedy, Fantasy, Horror            ",tt0118604
2945,2945,Harriet the Spy,(1996),5.9,no,9161,"26,539,321","
Comedy, Drama, Family            ",tt0116493
2946,2946,Basic,(2003),6.5,34        ,56856,"26,536,120","
Action, Crime, Drama            ",tt0264395
2947,2947,The Born Losers,(1967),6.0,no,2016,"26,535,973","
Action, Drama, Thriller            ",tt0061420
2948,2948,Bulworth,(1998),6.8,75        ,23929,"26,525,834","
Comedy, Drama, Romance            ",tt0118798
2949,2949,The Woman in Black 2: Angel of Death,(2014),4.8,42        ,25235,"26,496,583","
Drama, Horror, Thriller            ",tt2339741
2950,2950,Blast from the Past,(1999),6.6,48        ,56487,"26,494,611","
Comedy, Drama, Romance            ",tt0124298
2951,2951,Sinbad: Legend of the Seven Seas,(2003),6.7,48        ,45769,"26,483,452","
Animation, Adventure, Family            ",tt0165982
2952,2952,First Kid,(1996),5.2,48        ,9537,"26,459,681","
Family, Comedy            ",tt0116311
